game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20170718NCHH0,이재학,윤규진,5.67,5.36,0.7,1.54,23.0,5.22,5.4,1.93,1.53,18.0
20170719KTLG0,고영표,김대현,5.08,3.75,2.58,1.31,24.0,5.36,5.74,1.13,1.35,16.0
20170719OBSK0,장원준,켈리,3.14,4.38,5.65,1.24,29.0,3.6,3.6,5.35,1.31,30.0
20170719HTWO0,임기영,브리검,3.65,4.17,3.25,1.32,19.0,4.38,4.75,3.23,1.33,24.0
20170719SSLT0,페트릭,송승준,6.18,5.5,1.24,1.69,24.0,4.21,4.84,3.45,1.33,22.0
20170719NCHH0,맨쉽,김재영,3.67,4.14,3.37,1.29,21.0,4.54,5.09,1.01,1.41,15.0
20170720KTLG0,정성곤,류제국,8.11,6.1,-0.58,1.78,20.0,5.35,4.82,1.27,1.48,25.0
20170720OBSK0,함덕주,박종훈,3.67,3.88,3.46,1.4,24.0,4.1,5.44,3.72,1.36,28.0
20170720HTWO0,정용운,밴헤켄,5.92,6.56,0.27,1.57,11.0,3.77,3.8,3.6,1.32,24.0
20170720NCHH0,장현식,배영수,5.29,5.21,1.61,1.53,22.0,5.06,5.12,1.96,1.44,25.0
20170721SKNC0,문승원,해커,5.33,6.03,1.95,1.51,29.0,3.42,4.56,5.52,1.17,26.0
20170721HHOB0,안영명,니퍼트,5.75,5.16,0.46,1.72,16.0,4.06,4.79,4.07,1.4,30.0
20170721LGSS0,차우찬,레나도,3.43,4.12,5.1,1.19,28.0,6.8,7.54,-0.22,1.98,11.0
20170721LTHT0,김원중,양현종,5.7,5.53,1.72,1.73,24.0,3.44,3.93,5.45,1.31,31.0
20170721KTWO0,로치,최원태,4.69,5.38,2.35,1.58,28.0,4.46,4.57,3.65,1.31,25.0
20170722SKNC0,윤희상,구창모,6.0,5.2,1.12,1.52,22.0,5.32,4.99,1.06,1.63,25.0
20170722HHOB0,김범수,유희관,8.71,8.3,-0.46,2.16,5.0,4.53,4.9,3.31,1.43,29.0
20170722LTHT0,린드블럼,팻딘,3.72,4.08,2.45,1.16,12.0,4.14,4.61,4.36,1.42,29.0
20170722KTWO0,류희운,금민철,7.67,7.58,-0.4,1.88,14.0,6.33,4.99,0.31,2.11,7.0
20170723SKNC0,다이아몬드,이재학,4.42,5.1,3.25,1.47,24.0,5.67,5.36,0.7,1.54,23.0
20170723HHOB0,비야누에바,보우덴,4.18,4.74,2.62,1.17,20.0,4.64,6.35,1.61,1.47,17.0
20170723LGSS0,임찬규,김대우,4.63,4.78,2.53,1.43,26.0,9.54,6.58,-1.17,1.94,7.0
20170723LTHT0,레일리,헥터,3.8,4.34,5.55,1.3,30.0,3.48,4.35,6.45,1.32,30.0
20170723KTWO0,피어밴드,김성민,3.04,4.37,4.92,1.15,26.0,4.74,5.17,1.39,1.59,15.0
20170725WOLG0,브리검,소사,4.38,4.75,3.23,1.33,24.0,3.88,3.53,4.8,1.22,29.0
20170725NCSS0,맨쉽,백정현,3.67,4.14,3.37,1.29,21.0,4.38,4.47,2.5,1.45,14.0
20170725OBKT0,장원준,고영표,3.14,4.38,5.65,1.24,29.0,5.08,3.75,2.58,1.31,24.0
20170725SKHT0,켈리,임기영,3.6,3.6,5.35,1.31,30.0,3.65,4.17,3.25,1.32,19.0
20170726WOLG0,밴헤켄,김대현,3.77,3.8,3.6,1.32,24.0,5.36,5.74,1.13,1.35,16.0
20170726HHLT0,배영수,송승준,5.06,5.12,1.96,1.44,25.0,4.21,4.84,3.45,1.33,22.0
20170726NCSS0,장현식,윤성환,5.29,5.21,1.61,1.53,22.0,4.28,4.77,4.8,1.25,28.0
20170726OBKT0,함덕주,정성곤,3.67,3.88,3.46,1.4,24.0,8.11,6.1,-0.58,1.78,20.0
20170726SKHT0,박종훈,정용운,4.1,5.44,3.72,1.36,28.0,5.92,6.56,0.27,1.57,11.0
20170727WOLG0,최원태,류제국,4.46,4.57,3.65,1.31,25.0,5.35,4.82,1.27,1.48,25.0
20170727HHLT0,안영명,박세웅,5.75,5.16,0.46,1.72,16.0,3.68,5.13,5.72,1.32,28.0
20170727NCSS0,해커,레나도,3.42,4.56,5.52,1.17,26.0,6.8,7.54,-0.22,1.98,11.0
20170727OBKT0,니퍼트,로치,4.06,4.79,4.07,1.4,30.0,4.69,5.38,2.35,1.58,28.0
20170727SKHT0,문승원,양현종,5.33,6.03,1.95,1.51,29.0,3.44,3.93,5.45,1.31,31.0
20170728LGHH0,차우찬,김재영,3.43,4.12,5.1,1.19,28.0,4.54,5.09,1.01,1.41,15.0
20170728LTSK0,김원중,윤희상,5.7,5.53,1.72,1.73,24.0,6.0,5.2,1.12,1.52,22.0
20170728NCKT0,구창모,류희운,5.32,4.99,1.06,1.63,25.0,7.67,7.58,-0.4,1.88,14.0
20170728SSWO0,안성무,금민철,7.71,7.46,-0.03,2.06,3.0,6.33,4.99,0.31,2.11,7.0
20170729LGHH0,임찬규,비야누에바,4.63,4.78,2.53,1.43,26.0,4.18,4.74,2.62,1.17,20.0
20170729HTOB0,헥터,보우덴,3.48,4.35,6.45,1.32,30.0,4.64,6.35,1.61,1.47,17.0
20170729LTSK0,린드블럼,다이아몬드,3.72,4.08,2.45,1.16,12.0,4.42,5.1,3.25,1.47,24.0
20170729NCKT0,이재학,피어밴드,5.67,5.36,0.7,1.54,23.0,3.04,4.37,4.92,1.15,26.0
20170729SSWO0,우규민,김성민,5.21,4.94,1.0,1.38,25.0,4.74,5.17,1.39,1.59,15.0
20170730LGHH0,소사,김범수,3.88,3.53,4.8,1.22,29.0,8.71,8.3,-0.46,2.16,5.0
20170730HTOB0,임기영,장원준,3.65,4.17,3.25,1.32,19.0,3.14,4.38,5.65,1.24,29.0
20170730LTSK0,레일리,켈리,3.8,4.34,5.55,1.3,30.0,3.6,3.6,5.35,1.31,30.0
20170730NCKT0,맨쉽,고영표,3.67,4.14,3.37,1.29,21.0,5.08,3.75,2.58,1.31,24.0
20170730SSWO0,백정현,브리검,4.38,4.47,2.5,1.45,14.0,4.38,4.75,3.23,1.33,24.0
20170801HHNC0,배영수,장현식,5.06,5.12,1.96,1.44,25.0,5.29,5.21,1.61,1.53,22.0
20170801LTLG0,송승준,김대현,4.21,4.84,3.45,1.33,22.0,5.36,5.74,1.13,1.35,16.0
20170801OBSS0,함덕주,윤성환,3.67,3.88,3.46,1.4,24.0,4.28,4.77,4.8,1.25,28.0
20170801KTHT0,정성곤,정용운,8.11,6.1,-0.58,1.78,20.0,5.92,6.56,0.27,1.57,11.0
20170801SKWO0,박종훈,밴헤켄,4.1,5.44,3.72,1.36,28.0,3.77,3.8,3.6,1.32,24.0
20170802HHNC0,안영명,해커,5.75,5.16,0.46,1.72,16.0,3.42,4.56,5.52,1.17,26.0
20170802LTLG0,박세웅,류제국,3.68,5.13,5.72,1.32,28.0,5.35,4.82,1.27,1.48,25.0
20170802OBSS0,니퍼트,정인욱,4.06,4.79,4.07,1.4,30.0,9.84,7.19,-0.18,1.88,7.0
