game_id,away_starter,home_starter,season,home_team,away_team,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs
20010503SKHD0,이승호,ID_71339,2001,Heroes,SSG,3.55,4.78,5.37,1.43,33.0
20010504HDSS0,박장희,ID_90213,2001,삼성,Heroes,5.53,5.57,0.59,1.45,12.0
20010504HTSK0,소소경,ID_91848,2001,SSG,KIA,1.69,6.22,0.09,1.31,1.0
20010504LTHH0,손민한,ID_70755,2001,한화,롯데,4.21,4.49,3.58,1.46,29.0
20010504LGOB0,이동현,ID_89670,2001,두산,LG,5.37,5.69,0.54,1.76,19.0
20010505HDSS0,김수경,ID_89620,2001,삼성,Heroes,5.2,5.49,1.06,1.56,18.0
20010505HTSK0,유동훈,ID_96849,2001,SSG,KIA,7.5,4.94,-0.53,1.71,9.0
20010505HTSK0,유동훈,ID_96849,2001,SSG,KIA,0.0,3.54,-0.02,4.5,0.0
20010505LTHH0,박석진,ID_89770,2001,한화,롯데,2.98,3.72,4.57,1.21,11.0
20010505LGOB0,발데스,ID_70249,2001,두산,LG,4.65,5.31,2.31,1.54,29.0
20010506HDSS0,전준호,ID_95657,2001,삼성,Heroes,5.09,4.6,1.79,1.51,25.0
20010506HTSK0,오철민,ID_71829,2001,SSG,KIA,4.78,5.02,0.85,1.44,11.0
20010506LTHH0,김장현,ID_88770,2001,한화,롯데,5.44,4.23,0.31,1.73,3.0
20010508SSHT0,배영수,ID_94330,2001,KIA,삼성,3.77,4.63,4.2,1.52,25.0
20010508HHOB0,이상목,ID_96251,2001,두산,한화,4.9,4.11,0.69,1.52,12.0
20010508LGHD0,신윤호,ID_70329,2001,Heroes,LG,3.12,4.03,4.37,1.44,4.0
20010509SKLT1,김건한,ID_99548,2001,롯데,SSG,7.17,6.68,-0.36,1.59,8.0
20010509SSHT0,김상진,ID_95601,2001,KIA,삼성,7.04,6.38,-0.1,1.96,3.0
20010509HHOB0,조규수,ID_99245,2001,두산,한화,4.24,5.03,2.8,1.63,21.0
20010509LGHD0,이동현,ID_71339,2001,Heroes,LG,5.37,5.69,0.54,1.76,19.0
20010510SKLT0,김원형,ID_95459,2001,롯데,SSG,4.37,4.65,2.34,1.37,25.0
20010510SSHT0,이용훈,ID_99639,2001,KIA,삼성,5.53,4.94,0.27,1.65,16.0
20010510HHOB0,송진우,ID_89621,2001,두산,한화,3.84,4.44,3.6,1.44,24.0
20010510LGHD0,안병원,ID_98330,2001,Heroes,LG,7.39,5.74,-0.72,1.85,16.0
20010511OBSK0,최용호,ID_71829,2001,SSG,두산,4.98,4.74,0.8,1.54,18.0
20010511SSLG0,임창용,ID_70143,2001,LG,삼성,3.9,4.52,4.68,1.25,29.0
20010511HHLT0,한용덕,ID_97571,2001,롯데,한화,3.56,3.44,3.92,1.27,23.0
20010511HTHD0,오철민,ID_94364,2001,Heroes,KIA,4.78,5.02,0.85,1.44,11.0
20010512HHLT0,누네스,ID_71550,2001,롯데,한화,5.52,3.47,0.06,1.53,3.0
20010512OBSK0,최경훈,ID_91833,2001,SSG,두산,5.46,6.28,0.14,1.96,3.0
20010512SSLG0,배영수,ID_71123,2001,LG,삼성,3.77,4.63,4.2,1.52,25.0
20010512HTHD0,레스,ID_99360,2001,Heroes,KIA,3.82,5.13,1.84,1.57,13.0
20010512HTHD0,레스,ID_99360,2001,Heroes,KIA,4.85,5.37,1.24,1.36,11.0
20010513OBSK0,박명환,ID_71851,2001,SSG,두산,4.29,3.3,1.33,1.38,5.0
20010513SSLG0,라형진,ID_94126,2001,LG,삼성,5.43,5.49,0.84,1.59,3.0
20010513HHLT0,이상목,ID_99548,2001,롯데,한화,4.9,4.11,0.69,1.52,12.0
20010513HTHD0,최상덕,ID_99314,2001,Heroes,KIA,4.07,4.4,2.41,1.25,18.0
20010513HTHD0,최상덕,ID_99314,2001,Heroes,KIA,4.76,4.98,1.28,1.41,11.0
20010515LTSS0,박지철,ID_70434,2001,삼성,롯데,4.03,4.14,4.02,1.44,26.0
20010515SKHT0,이승호,ID_95601,2001,KIA,SSG,3.55,4.78,5.37,1.43,33.0
20010515OBLG0,구자운,ID_71118,2001,LG,두산,4.8,5.16,0.53,1.55,12.0
20010515HDHH0,테일러,ID_89770,2001,한화,Heroes,4.75,5.24,2.14,1.71,27.0
20010516LTSS0,박석진,ID_95657,2001,삼성,롯데,2.98,3.72,4.57,1.21,11.0
20010516SKHT0,김원형,ID_99639,2001,KIA,SSG,4.37,4.65,2.34,1.37,25.0
20010516OBLG0,최용호,ID_97126,2001,LG,두산,4.98,4.74,0.8,1.54,18.0
20010516HDHH0,김수경,ID_88770,2001,한화,Heroes,5.2,5.49,1.06,1.56,18.0
20010517LTSS0,손민한,ID_70425,2001,삼성,롯데,4.21,4.49,3.58,1.46,29.0
20010517SKHT0,에르난데스,ID_97621,2001,KIA,SSG,3.89,4.08,5.4,1.42,34.0
20010517OBLG0,최경훈,ID_70143,2001,LG,두산,5.46,6.28,0.14,1.96,3.0
20010517HDHH0,전준호,ID_71727,2001,한화,Heroes,5.09,4.6,1.79,1.51,25.0
20010518LGHT0,발데스,ID_94330,2001,KIA,LG,4.65,5.31,2.31,1.54,29.0
20010518LTSK0,기론,ID_91833,2001,SSG,롯데,5.48,5.48,0.33,1.51,9.0
20010518SSHH0,갈베스,ID_90853,2001,한화,삼성,2.47,3.55,4.28,1.15,15.0
