year,team,average_batter_age,runs_per_game,games,plate_appearances,at_bats,runs,hits,doubles,triples,homeruns,RBI,stolen_bases,caught_stealing,bases_on_balls,strikeouts,batting_average,OBP,SLG,OPS,total_bases,GDP,HBP,sacrifice_hits,sacrifice_flies,IBB
2017,SK Wyverns,29.6,5.28,144,5563,4925,761,1337,222,15,234,733,53.0,42.0,427,1100,0.272,0.341,0.465,0.806,2291,97,113,57,41,20.0
2017,Samsung Lions,29.2,5.26,144,5707,5095,757,1419,255,36,145,703,98.0,37.0,429,983,0.279,0.34,0.428,0.768,2181,97,70,58,55,17.0
2017,Lotte Giants,30.3,5.16,144,5671,4994,743,1425,250,17,151,697,92.0,44.0,457,1018,0.285,0.356,0.433,0.789,2162,146,112,76,32,33.0
2017,Hanwha Eagles,30.1,5.12,144,5663,5030,737,1445,261,16,150,684,64.0,44.0,416,974,0.287,0.351,0.435,0.786,2188,112,94,85,38,15.0
2017,LG Twins,28.9,4.85,144,5614,4944,699,1390,216,20,110,663,77.0,56.0,438,1021,0.281,0.348,0.4,0.748,1976,123,101,76,55,17.0
2017,KT Wiz,29.5,4.55,144,5484,4937,655,1360,274,17,119,625,86.0,51.0,374,1017,0.276,0.332,0.41,0.742,2025,118,66,62,45,11.0
2016,Doosan Bears,27.7,6.49,144,5841,5044,935,1504,284,25,183,877,85.0,45.0,600,884,0.298,0.378,0.473,0.851,2387,121,86,43,68,11.0
2016,NC Dinos,29.5,5.95,144,5831,5007,857,1457,249,19,169,808,99.0,41.0,609,1023,0.291,0.375,0.45,0.824,2251,133,93,70,52,18.0
2016,Samsung Lions,29.7,5.92,144,5863,5093,852,1492,249,34,142,792,104.0,50.0,552,864,0.293,0.367,0.439,0.806,2235,119,75,88,55,15.0
2016,Hanwha Eagles,30.4,5.74,144,5838,5109,826,1478,242,27,142,787,64.0,38.0,510,1025,0.289,0.362,0.431,0.792,2200,123,91,87,41,19.0
2016,Nexen Heroes,27.2,5.65,144,5702,4990,813,1464,254,39,134,765,154.0,83.0,556,956,0.293,0.368,0.441,0.808,2198,121,63,34,59,17.0
2016,Kia Tigers,29.3,5.58,144,5696,4999,803,1429,264,28,170,754,101.0,50.0,499,997,0.286,0.358,0.452,0.81,2259,109,87,66,45,12.0
2016,LG Twins,29.0,5.46,144,5765,5051,786,1464,238,26,118,744,121.0,70.0,523,982,0.29,0.361,0.417,0.779,2108,92,72,65,54,10.0
2016,Lotte Giants,29.0,5.4,144,5783,5001,777,1439,252,20,127,732,145.0,64.0,596,1061,0.288,0.37,0.422,0.793,2112,120,83,62,41,18.0
2016,SK Wyverns,29.1,5.23,144,5672,5023,753,1464,234,19,182,715,89.0,60.0,429,1018,0.292,0.356,0.454,0.811,2282,104,102,71,47,13.0
2016,KT Wiz,29.9,4.67,144,5620,4963,672,1369,214,11,116,639,96.0,46.0,499,933,0.276,0.345,0.394,0.738,1953,130,48,65,45,7.0
2015,Nexen Heroes,27.3,6.28,144,5811,5069,904,1512,304,20,203,855,100.0,47.0,544,1098,0.298,0.372,0.486,0.858,2465,112,82,61,55,18.0
2015,Samsung Lions,29.1,6.23,144,5803,5019,897,1515,259,25,176,850,157.0,52.0,581,930,0.302,0.378,0.469,0.847,2352,109,70,76,57,21.0
2015,NC Dinos,28.9,5.86,144,5726,4967,844,1437,283,28,161,802,204.0,60.0,536,1023,0.289,0.367,0.455,0.822,2259,105,106,64,53,25.0
2015,Doosan Bears,27.7,5.6,144,5758,4957,807,1436,254,22,140,770,111.0,47.0,567,820,0.29,0.37,0.435,0.804,2154,139,99,75,60,24.0
2015,Lotte Giants,28.7,5.31,144,5680,4972,765,1393,254,19,177,727,104.0,50.0,532,1186,0.28,0.356,0.446,0.802,2216,136,68,80,28,22.0
2015,Hanwha Eagles,30.1,4.98,144,5716,4852,717,1316,218,19,130,667,80.0,47.0,581,1135,0.271,0.36,0.404,0.764,1962,112,109,139,35,33.0
2015,SK Wyverns,29.6,4.81,144,5588,4861,693,1323,214,10,145,656,94.0,59.0,490,1047,0.272,0.349,0.41,0.759,1992,113,98,110,29,13.0
2015,KT Wiz,28.9,4.65,144,5604,4927,670,1344,221,15,129,633,124.0,52.0,507,1112,0.273,0.345,0.402,0.748,1982,118,58,75,37,21.0
2015,LG Twins,28.8,4.53,144,5599,4941,653,1331,252,22,114,601,113.0,62.0,462,1076,0.269,0.339,0.399,0.738,1969,98,80,75,41,18.0
2015,Kia Tigers,29.4,4.5,144,5454,4777,648,1197,223,22,136,602,115.0,50.0,454,1126,0.251,0.326,0.392,0.718,1872,105,101,79,43,16.0
2014,Nexen Heroes,27.5,6.57,128,5163,4434,841,1323,275,31,199,786,100.0,44.0,523,849,0.298,0.382,0.509,0.891,2257,100,101,65,40,10.0
2014,Samsung Lions,29.1,6.34,128,5152,4464,812,1345,238,23,161,763,161.0,46.0,507,743,0.301,0.377,0.473,0.85,2112,88,62,76,43,11.0
2014,NC Dinos,28.4,5.76,128,5031,4426,737,1249,228,36,143,697,154.0,47.0,443,918,0.282,0.353,0.447,0.8,1978,90,67,44,51,9.0
2014,SK Wyverns,29.0,5.74,128,5082,4423,735,1285,245,22,115,696,139.0,46.0,447,926,0.291,0.362,0.434,0.795,1919,92,72,91,49,12.0
2014,Lotte Giants,28.6,5.59,128,5194,4487,716,1288,252,26,121,685,63.0,41.0,534,964,0.287,0.369,0.436,0.804,1955,95,70,62,41,19.0
2014,Doosan Bears,27.8,5.37,128,5083,4427,687,1299,235,26,108,646,111.0,44.0,468,731,0.293,0.366,0.431,0.798,1910,103,64,81,43,10.0
2014,LG Twins,30.5,5.22,128,5070,4349,668,1214,213,22,90,622,105.0,64.0,524,817,0.279,0.361,0.4,0.761,1741,112,63,77,57,17.0
2014,Kia Tigers,29.1,5.17,128,5023,4443,662,1279,246,27,121,631,121.0,63.0,416,870,0.288,0.355,0.437,0.792,1942,95,62,67,35,11.0
2014,Hanwha Eagles,29.3,4.84,128,5055,4417,619,1251,223,24,104,594,70.0,41.0,490,839,0.283,0.359,0.415,0.774,1834,125,55,50,43,5.0
2013,Doosan Bears,28.2,5.46,128,5142,4401,699,1271,217,37,95,654,172.0,61.0,524,717,0.289,0.37,0.42,0.79,1847,105,79,82,56,19.0
2013,Samsung Lions,29.1,5.23,128,5041,4370,669,1235,212,17,113,624,95.0,41.0,453,818,0.283,0.359,0.417,0.776,1820,98,93,84,41,9.0
2013,Nexen Heroes,27.7,5.05,128,5015,4294,646,1167,209,11,125,607,131.0,65.0,505,912,0.272,0.358,0.413,0.771,1773,94,98,76,42,12.0
2013,LG Twins,29.9,4.81,128,4934,4291,616,1210,194,38,59,574,139.0,71.0,451,806,0.282,0.355,0.386,0.741,1657,80,59,91,42,11.0
2013,SK Wyverns,29.4,4.59,128,4949,4278,588,1134,189,20,124,558,144.0,63.0,465,918,0.265,0.346,0.406,0.752,1735,99,86,83,37,26.0
2013,Kia Tigers,27.9,4.59,128,5050,4318,587,1125,195,13,88,545,141.0,47.0,537,864,0.261,0.349,0.373,0.722,1610,110,75,78,42,8.0
2013,Lotte Giants,28.1,4.34,128,4978,4289,556,1118,208,18,61,522,133.0,58.0,502,862,0.261,0.345,0.36,0.705,1545,92,72,74,41,22.0
2013,NC Dinos,27.1,4.0,128,4864,4282,512,1045,209,25,86,485,142.0,47.0,434,955,0.244,0.32,0.365,0.685,1562,94,62,55,31,11.0
2013,Hanwha Eagles,28.8,3.75,128,4914,4271,480,1106,212,13,47,448,70.0,49.0,479,933,0.259,0.343,0.348,0.69,1485,140,80,54,30,11.0
2012,Samsung Lions,28.9,4.72,133,5160,4436,628,1205,200,26,89,585,125.0,48.0,500,813,0.272,0.353,0.389,0.742,1724,91,86,91,47,19.0
2012,SK Wyverns,29.7,4.24,133,4996,4347,564,1120,197,15,108,523,104.0,75.0,445,864,0.258,0.333,0.384,0.717,1671,85,58,118,28,19.0
2012,Kia Tigers,27.2,4.16,133,5131,4348,553,1112,197,19,54,518,132.0,51.0,544,790,0.256,0.343,0.347,0.69,1509,100,60,132,47,18.0
2012,Nexen Heroes,27.5,4.13,133,5021,4338,549,1056,189,28,102,509,179.0,72.0,476,892,0.243,0.325,0.37,0.696,1607,79,72,92,43,17.0
2012,LG Twins,29.4,4.09,133,5180,4539,544,1184,212,18,59,512,140.0,57.0,458,857,0.261,0.332,0.355,0.687,1609,107,53,80,50,19.0
2012,Doosan Bears,26.8,3.94,133,4937,4379,524,1139,172,26,59,490,116.0,51.0,362,659,0.26,0.322,0.352,0.673,1540,129,54,102,40,12.0
2012,Lotte Giants,28.3,3.83,133,5043,4481,509,1179,202,16,73,479,119.0,53.0,375,890,0.263,0.326,0.364,0.69,1632,91,54,107,26,19.0
2012,Hanwha Eagles,29.1,3.83,133,5057,4331,509,1077,208,12,71,479,107.0,53.0,538,907,0.249,0.338,0.351,0.69,1522,102,61,100,27,17.0
2011,Lotte Giants,27.6,5.36,133,5234,4599,713,1324,226,30,111,666,112.0,58.0,466,836,0.288,0.358,0.423,0.781,1943,124,64,61,44,19.0
2011,Kia Tigers,27.8,4.71,133,5129,4373,627,1177,204,15,106,597,113.0,38.0,554,782,0.269,0.357,0.395,0.752,1729,110,59,109,34,11.0
2011,Samsung Lions,28.0,4.7,133,5144,4437,625,1150,193,20,95,585,158.0,51.0,522,940,0.259,0.343,0.376,0.719,1668,97,69,73,43,23.0
2011,Doosan Bears,26.8,4.62,133,5204,4498,614,1221,196,27,92,578,130.0,57.0,513,799,0.272,0.354,0.388,0.742,1747,118,81,73,39,17.0
2011,SK Wyverns,29.4,4.39,133,5124,4404,584,1157,204,18,100,561,105.0,61.0,470,891,0.263,0.34,0.385,0.726,1697,88,67,147,36,15.0
2011,LG Twins,29.3,4.35,133,5157,4522,579,1203,192,15,94,539,116.0,52.0,463,858,0.266,0.338,0.378,0.716,1707,106,49,86,37,15.0
2011,Hanwha Eagles,29.9,4.27,133,5084,4367,568,1112,160,14,93,536,100.0,76.0,488,906,0.255,0.338,0.362,0.7,1579,93,74,130,25,14.0
2011,Nexen Heroes,28.9,3.85,133,4989,4343,512,1065,187,23,79,472,99.0,55.0,460,992,0.245,0.323,0.353,0.676,1535,94,51,103,32,16.0
2010,Lotte Giants,27.9,5.81,133,5261,4673,773,1345,220,16,185,739,124.0,51.0,420,873,0.288,0.352,0.461,0.813,2152,105,67,60,41,15.0
2010,Doosan Bears,26.4,5.5,133,5252,4538,731,1276,224,25,149,706,128.0,61.0,533,834,0.281,0.365,0.44,0.805,1997,97,89,54,38,27.0
2010,SK Wyverns,28.6,5.29,133,5213,4439,704,1217,222,16,120,648,161.0,69.0,485,813,0.274,0.355,0.413,0.768,1831,86,98,147,44,25.0
2010,LG Twins,28.5,5.17,133,5270,4604,688,1270,223,17,121,652,169.0,56.0,486,907,0.276,0.349,0.411,0.759,1890,97,54,82,44,25.0
2010,Samsung Lions,27.8,5.12,133,5287,4436,681,1207,212,14,118,630,158.0,55.0,621,916,0.272,0.368,0.406,0.774,1801,111,75,111,44,29.0
2010,Kia Tigers,27.4,4.59,133,5166,4416,611,1148,190,17,106,574,117.0,52.0,523,865,0.26,0.347,0.383,0.73,1690,110,85,109,33,14.0
2010,Nexen Heroes,29.7,4.29,133,5138,4452,570,1165,199,20,87,539,135.0,56.0,480,874,0.262,0.34,0.374,0.714,1665,119,68,95,43,16.0
2010,Hanwha Eagles,28.1,4.08,133,5006,4321,543,1053,160,13,104,508,121.0,70.0,497,943,0.244,0.331,0.359,0.69,1551,106,80,75,33,10.0
2009,SK Wyverns,27.9,5.5,133,5378,4574,732,1303,235,17,166,693,181.0,68.0,552,892,0.285,0.369,0.453,0.822,2070,103,84,128,40,16.0
2009,Doosan Bears,26.0,5.43,133,5265,4591,722,1286,215,33,120,669,129.0,50.0,522,849,0.28,0.362,0.42,0.781,1927,128,86,26,40,21.0
2009,Kia Tigers,28.4,5.31,133,5215,4455,706,1191,197,24,156,671,113.0,52.0,579,890,0.267,0.357,0.427,0.785,1904,112,66,74,41,27.0
2009,Samsung Lions,27.8,5.15,133,5220,4459,685,1224,233,15,146,650,125.0,50.0,584,789,0.275,0.364,0.432,0.796,1925,108,67,67,43,23.0
2009,Woori Heroes,29.3,5.14,133,5208,4486,683,1219,228,20,153,650,192.0,67.0,547,905,0.272,0.356,0.434,0.789,1946,116,63,64,48,24.0
2009,LG Twins,29.8,5.04,133,5248,4505,670,1251,182,21,129,627,141.0,47.0,552,781,0.278,0.36,0.413,0.773,1862,124,49,97,45,28.0
2009,Hanwha Eagles,28.4,4.94,133,5273,4620,657,1241,211,13,164,629,69.0,20.0,498,1017,0.269,0.348,0.426,0.774,1970,126,81,43,31,16.0
2009,Lotte Giants,27.7,4.79,133,5053,4420,637,1223,252,15,121,597,106.0,45.0,456,816,0.277,0.35,0.423,0.773,1868,121,68,60,49,9.0
2008,Doosan Bears,26.6,5.13,126,4974,4344,647,1198,166,37,68,598,189.0,63.0,472,719,0.276,0.354,0.378,0.732,1642,115,78,36,44,23.0
2008,SK Wyverns,27.1,5.02,126,5003,4332,632,1222,215,23,89,591,170.0,83.0,491,735,0.282,0.361,0.404,0.765,1750,99,62,80,38,15.0
2008,Lotte Giants,27.7,4.95,126,4890,4256,624,1200,199,22,93,590,133.0,68.0,445,728,0.282,0.357,0.405,0.761,1722,97,76,62,51,13.0
2008,Hanwha Eagles,28.4,4.7,126,4882,4275,592,1086,204,20,120,566,97.0,25.0,463,770,0.254,0.333,0.395,0.728,1690,100,57,52,35,17.0
2008,Samsung Lions,29.0,4.42,126,4858,4180,557,1078,186,16,92,520,59.0,37.0,505,699,0.258,0.344,0.376,0.72,1572,115,65,70,38,15.0
2008,Kia Tigers,27.9,3.99,126,4831,4210,503,1095,188,28,48,465,131.0,65.0,453,642,0.26,0.336,0.352,0.689,1483,97,48,85,35,14.0
2008,Woori Heroes,29.3,3.96,126,4834,4317,499,1149,190,19,70,471,97.0,57.0,396,713,0.266,0.331,0.368,0.698,1587,114,37,51,33,20.0
2008,LG Twins,29.3,3.71,126,4742,4184,468,1070,164,23,66,447,111.0,45.0,364,765,0.256,0.321,0.353,0.674,1478,90,59,85,50,6.0
2007,SK Wyverns,27.5,4.79,126,4881,4236,603,1118,212,20,112,568,136.0,68.0,442,750,0.264,0.341,0.403,0.744,1706,86,76,87,40,22.0
2007,Doosan Bears,27.0,4.59,126,4855,4199,578,1103,209,32,78,543,161.0,59.0,449,748,0.263,0.343,0.383,0.726,1610,102,88,68,51,21.0
2007,Hanwha Eagles,29.7,4.24,126,4805,4128,534,1050,165,13,104,502,48.0,21.0,506,705,0.254,0.342,0.376,0.718,1553,128,56,87,28,17.0
2007,Lotte Giants,26.8,4.23,126,4894,4273,533,1152,193,18,76,501,67.0,46.0,405,763,0.27,0.34,0.377,0.717,1609,87,73,104,39,34.0
2007,LG Twins,28.5,4.22,126,4933,4322,532,1160,186,19,78,508,130.0,46.0,431,704,0.268,0.338,0.374,0.713,1618,107,48,89,43,24.0
2007,Hyundai Unicorns,29.6,4.21,126,4920,4260,530,1154,178,7,96,507,51.0,36.0,443,653,0.271,0.346,0.384,0.729,1634,111,60,125,32,38.0
2007,Kia Tigers,28.1,3.96,126,4810,4204,499,1080,198,16,73,465,70.0,44.0,428,630,0.257,0.33,0.364,0.694,1529,117,55,78,45,7.0
2007,Samsung Lions,30.6,3.94,126,4894,4186,497,1062,191,9,86,469,101.0,46.0,511,678,0.254,0.341,0.365,0.706,1529,93,63,95,39,28.0
2006,Hyundai Unicorns,30.1,4.34,126,4798,4092,547,1104,172,9,92,518,71.0,47.0,444,628,0.27,0.35,0.384,0.734,1570,108,77,153,32,17.0
2006,Samsung Lions,29.8,4.27,126,4779,4091,538,1043,192,9,73,505,121.0,52.0,477,689,0.255,0.341,0.36,0.701,1472,107,79,90,42,14.0
2006,Hanwha Eagles,29.2,4.06,126,4769,4170,511,1057,191,3,110,481,65.0,28.0,442,800,0.254,0.331,0.38,0.711,1584,120,59,68,30,13.0
2006,SK Wyverns,27.0,4.04,126,4793,4177,509,1059,171,19,99,488,117.0,47.0,424,859,0.254,0.329,0.375,0.704,1565,84,63,96,33,19.0
2006,Lotte Giants,26.9,3.87,126,4765,4137,488,1034,173,3,88,463,62.0,41.0,418,815,0.25,0.327,0.357,0.684,1477,84,65,124,21,17.0
2006,Kia Tigers,27.6,3.78,126,4754,4181,476,1067,191,22,62,431,93.0,43.0,390,650,0.255,0.325,0.356,0.681,1488,90,55,102,26,20.0
2006,LG Twins,27.7,3.63,126,4723,4217,457,1037,181,16,81,430,84.0,33.0,330,813,0.246,0.306,0.354,0.66,1493,86,52,92,32,19.0
2006,Doosan Bears,28.3,3.61,126,4706,4147,455,1068,152,28,55,425,132.0,57.0,368,635,0.258,0.328,0.348,0.676,1441,102,83,81,27,14.0
2005,Hanwha Eagles,28.3,4.94,126,4841,4304,622,1163,211,9,159,594,62.0,24.0,400,824,0.27,0.341,0.434,0.775,1869,121,75,31,31,12.0
2005,Samsung Lions,29.0,4.87,126,4975,4234,614,1134,178,6,111,575,97.0,38.0,500,748,0.268,0.357,0.391,0.749,1657,112,109,98,34,21.0
2005,LG Twins,27.1,4.77,126,4785,4222,601,1098,189,21,105,554,149.0,45.0,349,915,0.26,0.327,0.389,0.717,1644,72,93,80,41,12.0
2005,Doosan Bears,29.2,4.73,126,4922,4256,596,1147,183,17,63,558,103.0,50.0,465,701,0.27,0.351,0.365,0.715,1553,93,85,81,35,14.0
2005,SK Wyverns,28.4,4.67,126,4984,4230,589,1139,174,12,122,559,101.0,54.0,495,806,0.269,0.355,0.403,0.757,1703,88,85,136,38,27.0
2005,Hyundai Unicorns,29.5,4.47,126,4899,4190,563,1071,168,16,134,529,81.0,38.0,458,817,0.256,0.344,0.399,0.743,1673,85,120,105,26,12.0
2005,Kia Tigers,27.1,4.29,126,4848,4234,541,1102,183,13,99,507,101.0,43.0,430,718,0.26,0.337,0.38,0.717,1608,101,74,79,31,24.0
2005,Lotte Giants,26.6,3.97,126,4722,4177,500,1058,202,23,83,470,88.0,52.0,361,856,0.253,0.322,0.372,0.694,1555,83,70,94,20,11.0
2004,Hyundai Unicorns,29.1,5.2,133,5322,4480,692,1233,190,13,134,653,100.0,45.0,607,871,0.275,0.37,0.413,0.783,1851,109,86,111,38,29.0
2004,SK Wyverns,28.9,4.92,133,5253,4499,655,1223,196,9,138,626,50.0,47.0,521,818,0.272,0.357,0.411,0.768,1851,98,93,105,35,24.0
2004,Kia Tigers,28.0,4.83,133,5190,4426,643,1182,224,9,143,610,127.0,54.0,549,693,0.267,0.354,0.419,0.773,1853,118,79,82,54,22.0
2004,Samsung Lions,28.9,4.82,133,5170,4509,641,1215,225,9,132,600,50.0,32.0,460,704,0.27,0.346,0.411,0.757,1854,122,86,84,31,22.0
2004,Hanwha Eagles,26.9,4.75,133,5150,4519,632,1213,245,17,140,605,82.0,58.0,456,923,0.268,0.34,0.423,0.764,1912,107,54,88,33,14.0
2004,Doosan Bears,29.2,4.56,133,5109,4485,606,1200,202,19,89,573,71.0,59.0,433,780,0.268,0.342,0.381,0.723,1707,86,96,55,40,12.0
2004,LG Twins,27.9,4.42,133,5081,4432,588,1150,176,24,102,554,69.0,48.0,441,892,0.26,0.337,0.379,0.716,1680,89,95,73,40,18.0
2004,Lotte Giants,27.4,4.01,133,5075,4462,533,1125,195,21,88,500,129.0,46.0,416,853,0.252,0.327,0.364,0.691,1626,99,92,74,31,15.0
2003,Samsung Lions,28.8,5.78,133,5241,4564,769,1295,236,14,213,744,56.0,32.0,481,661,0.284,0.36,0.482,0.842,2198,131,85,73,38,19.0
2003,Hyundai Unicorns,28.2,5.44,133,5312,4483,723,1280,208,15,175,673,75.0,48.0,543,727,0.286,0.374,0.456,0.829,2043,100,109,139,38,23.0
2003,Kia Tigers,26.6,4.94,133,5126,4448,657,1211,219,16,129,626,146.0,67.0,505,721,0.272,0.349,0.416,0.765,1849,72,42,94,37,18.0
2003,SK Wyverns,28.4,4.84,133,5157,4445,644,1208,209,16,156,612,82.0,57.0,464,763,0.272,0.35,0.431,0.781,1917,87,89,127,32,10.0
